Source,Target,Weight
C_CND_000001,Ford,1
C_CND_000001,Expedition,1
C_CND_000001,Black,1
C_CND_000001,Auto,1
C_CND_000001,DoubleÂ Overhead Camshaft,1
C_CND_000001,SUV,1
C_CND_000001,25K–30K,1
C_CND_000002,Dodge,1
C_CND_000002,Durango,1
C_CND_000002,Black,1
C_CND_000002,Auto,1
C_CND_000002,DoubleÂ Overhead Camshaft,1
C_CND_000002,SUV,1
C_CND_000002,15K–20K,1
C_CND_000003,Cadillac,1
C_CND_000003,Eldorado,1
C_CND_000003,Red,1
C_CND_000003,Manual,1
C_CND_000003,Overhead Camshaft,1
C_CND_000003,Passenger,1
C_CND_000003,30K–35K,1
C_CND_000004,Toyota,1
C_CND_000004,Celica,1
C_CND_000004,Pale White,1
C_CND_000004,Manual,1
C_CND_000004,Overhead Camshaft,1
C_CND_000004,SUV,1
C_CND_000004,10K–15K,1
C_CND_000005,Acura,1
C_CND_000005,TL,1
C_CND_000005,Red,1
C_CND_000005,Auto,1
C_CND_000005,DoubleÂ Overhead Camshaft,1
C_CND_000005,Hatchback,1
C_CND_000005,20K–25K,1
C_CND_000006,Mitsubishi,1
C_CND_000006,Diamante,1
C_CND_000006,Pale White,1
C_CND_000006,Manual,1
C_CND_000006,Overhead Camshaft,1
C_CND_000006,Hatchback,1
C_CND_000006,10K–15K,1
C_CND_000007,Toyota,1
C_CND_000007,Corolla,1
C_CND_000007,Pale White,1
C_CND_000007,Manual,1
C_CND_000007,Overhead Camshaft,1
C_CND_000007,Passenger,1
C_CND_000007,10K–15K,1
C_CND_000008,Mitsubishi,1
C_CND_000008,Galant,1
C_CND_000008,Pale White,1
C_CND_000008,Auto,1
C_CND_000008,DoubleÂ Overhead Camshaft,1
C_CND_000008,Passenger,1
C_CND_000008,40K–45K,1
C_CND_000009,Chevrolet,1
C_CND_000009,Malibu,1
C_CND_000009,Pale White,1
C_CND_000009,Manual,1
C_CND_000009,Overhead Camshaft,1
C_CND_000009,Hardtop,1
C_CND_000009,80K–85K,1
C_CND_000010,Ford,1
C_CND_000010,Escort,1
C_CND_000010,Pale White,1
C_CND_000010,Auto,1
C_CND_000010,DoubleÂ Overhead Camshaft,1
C_CND_000010,Passenger,1
C_CND_000010,10K–15K,1
C_CND_000011,Acura,1
C_CND_000011,RL,1
C_CND_000011,Pale White,1
C_CND_000011,Manual,1
C_CND_000011,Overhead Camshaft,1
C_CND_000011,SUV,1
C_CND_000011,30K–35K,1
C_CND_000012,Nissan,1
C_CND_000012,Pathfinder,1
C_CND_000012,Pale White,1
C_CND_000012,Auto,1
C_CND_000012,DoubleÂ Overhead Camshaft,1
C_CND_000012,Hardtop,1
C_CND_000012,45K–50K,1
C_CND_000013,Mercury,1
C_CND_000013,Grand Marquis,1
C_CND_000013,Black,1
C_CND_000013,Auto,1
C_CND_000013,DoubleÂ Overhead Camshaft,1
C_CND_000013,SUV,1
C_CND_000013,5K–10K,1
C_CND_000014,BMW,1
C_CND_000014,323i,1
C_CND_000014,Pale White,1
C_CND_000014,Auto,1
C_CND_000014,DoubleÂ Overhead Camshaft,1
C_CND_000014,Hatchback,1
C_CND_000014,10K–15K,1
C_CND_000015,Chrysler,1
C_CND_000015,Sebring Coupe,1
C_CND_000015,Pale White,1
C_CND_000015,Manual,1
C_CND_000015,Overhead Camshaft,1
C_CND_000015,Sedan,1
C_CND_000015,25K–30K,1
C_CND_000016,Subaru,1
C_CND_000016,Forester,1
C_CND_000016,Pale White,1
C_CND_000016,Manual,1
C_CND_000016,Overhead Camshaft,1
C_CND_000016,Hatchback,1
C_CND_000016,15K–20K,1
C_CND_000017,Hyundai,1
C_CND_000017,Accent,1
C_CND_000017,Black,1
C_CND_000017,Manual,1
C_CND_000017,Overhead Camshaft,1
C_CND_000017,Hatchback,1
C_CND_000017,15K–20K,1
C_CND_000018,Cadillac,1
C_CND_000018,Eldorado,1
C_CND_000018,Pale White,1
C_CND_000018,Auto,1
C_CND_000018,DoubleÂ Overhead Camshaft,1
C_CND_000018,Passenger,1
C_CND_000018,30K–35K,1
C_CND_000019,Toyota,1
C_CND_000019,Land Cruiser,1
C_CND_000019,Pale White,1
C_CND_000019,Auto,1
C_CND_000019,DoubleÂ Overhead Camshaft,1
C_CND_000019,SUV,1
C_CND_000019,30K–35K,1
C_CND_000020,Honda,1
C_CND_000020,Accord,1
C_CND_000020,Pale White,1
C_CND_000020,Auto,1
C_CND_000020,DoubleÂ Overhead Camshaft,1
C_CND_000020,Sedan,1
C_CND_000020,20K–25K,1
C_CND_000021,Toyota,1
C_CND_000021,4Runner,1
C_CND_000021,Black,1
C_CND_000021,Manual,1
C_CND_000021,Overhead Camshaft,1
C_CND_000021,Sedan,1
C_CND_000021,20K–25K,1
C_CND_000022,Infiniti,1
C_CND_000022,I30,1
C_CND_000022,Black,1
C_CND_000022,Auto,1
C_CND_000022,DoubleÂ Overhead Camshaft,1
C_CND_000022,Hardtop,1
C_CND_000022,20K–25K,1
C_CND_000023,Audi,1
C_CND_000023,A4,1
C_CND_000023,Pale White,1
C_CND_000023,Manual,1
C_CND_000023,Overhead Camshaft,1
C_CND_000023,Hardtop,1
C_CND_000023,10K–15K,1
C_CND_000024,Porsche,1
C_CND_000024,Carrera Cabrio,1
C_CND_000024,Pale White,1
C_CND_000024,Auto,1
C_CND_000024,DoubleÂ Overhead Camshaft,1
C_CND_000024,Passenger,1
C_CND_000024,15K–20K,1
C_CND_000025,Volkswagen,1
C_CND_000025,Jetta,1
C_CND_000025,Pale White,1
C_CND_000025,Auto,1
C_CND_000025,DoubleÂ Overhead Camshaft,1
C_CND_000025,Passenger,1
C_CND_000025,20K–25K,1
C_CND_000026,Dodge,1
C_CND_000026,Viper,1
C_CND_000026,Pale White,1
C_CND_000026,Auto,1
C_CND_000026,DoubleÂ Overhead Camshaft,1
C_CND_000026,SUV,1
C_CND_000026,30K–35K,1
C_CND_000027,Buick,1
C_CND_000027,Regal,1
C_CND_000027,Black,1
C_CND_000027,Auto,1
C_CND_000027,DoubleÂ Overhead Camshaft,1
C_CND_000027,Passenger,1
C_CND_000027,15K–20K,1
C_CND_000028,Chrysler,1
C_CND_000028,LHS,1
C_CND_000028,Pale White,1
C_CND_000028,Manual,1
C_CND_000028,Overhead Camshaft,1
C_CND_000028,Hatchback,1
C_CND_000028,40K–45K,1
C_CND_000029,Chrysler,1
C_CND_000029,LHS,1
C_CND_000029,Pale White,1
C_CND_000029,Manual,1
C_CND_000029,Overhead Camshaft,1
C_CND_000029,Hatchback,1
C_CND_000029,40K–45K,1
C_CND_000030,Saturn,1
C_CND_000030,LW,1
C_CND_000030,Pale White,1
C_CND_000030,Manual,1
C_CND_000030,Overhead Camshaft,1
C_CND_000030,Hatchback,1
C_CND_000030,10K–15K,1
C_CND_000031,Mitsubishi,1
C_CND_000031,3000GT,1
C_CND_000031,Pale White,1
C_CND_000031,Manual,1
C_CND_000031,Overhead Camshaft,1
C_CND_000031,Sedan,1
C_CND_000031,15K–20K,1
C_CND_000032,Mercedes-B,1
C_CND_000032,SLK230,1
C_CND_000032,Pale White,1
C_CND_000032,Manual,1
C_CND_000032,Overhead Camshaft,1
C_CND_000032,Hatchback,1
C_CND_000032,10K–15K,1
C_CND_000033,Honda,1
C_CND_000033,Accord,1
C_CND_000033,Pale White,1
C_CND_000033,Auto,1
C_CND_000033,DoubleÂ Overhead Camshaft,1
C_CND_000033,Sedan,1
C_CND_000033,15K–20K,1
C_CND_000034,Honda,1
C_CND_000034,Civic,1
C_CND_000034,Black,1
C_CND_000034,Manual,1
C_CND_000034,Overhead Camshaft,1
C_CND_000034,Hatchback,1
C_CND_000034,40K–45K,1
C_CND_000035,Jaguar,1
C_CND_000035,S-Type,1
C_CND_000035,Black,1
C_CND_000035,Auto,1
C_CND_000035,DoubleÂ Overhead Camshaft,1
C_CND_000035,Passenger,1
C_CND_000035,15K–20K,1
C_CND_000036,Volvo,1
C_CND_000036,S40,1
C_CND_000036,Pale White,1
C_CND_000036,Auto,1
C_CND_000036,DoubleÂ Overhead Camshaft,1
C_CND_000036,Sedan,1
C_CND_000036,40K–45K,1
C_CND_000037,Mercury,1
C_CND_000037,Mountaineer,1
