Id,Label,type,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
Love Hot Water Bottle,Love Hot Water Bottle,Product,452,47635,4,0.528815,0.576106,0.000147,0.026168,0.026168,0.000466,0,16,907,0.663707,67649,0.44204
Small Silver Flower Candle Pot,Small Silver Flower Candle Pot,Product,4,326,5,0.409748,0.429547,0.000001,0.00018,0.00018,0.000086,0,5,102,0.5,3,0.003111
Columbian Candle Rectangle,Columbian Candle Rectangle,Product,1,67,6,0.315344,0.320709,0,0.000003,0.000003,0.000061,0,5,782,0,0,0.000069
Tool Box Soft Toy,Tool Box Soft Toy,Product,1,52,6,0.297048,0.303946,0,0.000001,0.000001,0.00007,0,21,517,0,0,0.000032
Pantry Pastry Brush,Pantry Pastry Brush,Product,255,22747,4,0.503964,0.535623,0.000008,0.017955,0.017955,0.000242,0,7,61,0.875405,28350,0.303432
Vintage Doily Travel Sewing Kit,Vintage Doily Travel Sewing Kit,Product,800,117116,4,0.574009,0.645434,0.001569,0.040804,0.040804,0.001116,0,16,1,0.502159,160490,0.689676
Paperweight Vintage Collage,Paperweight Vintage Collage,Product,74,6597,5,0.461076,0.482438,0.000631,0.003129,0.003129,0.000205,0,11,597,0.71381,1928,0.053433
Red Hearts Light Chain,Red Hearts Light Chain,Product,107,8206,5,0.476417,0.497979,0.000126,0.003383,0.003383,0.000188,0,14,826,0.653853,3708,0.059357
Jardin Etched Glass Fruitbowl,Jardin Etched Glass Fruitbowl,Product,1,59,6,0.284126,0.291513,0,0.000001,0.000001,0.000071,0,21,322,0,0,0.000027
Recipe Box Retrospot,Recipe Box Retrospot,Product,504,61987,4,0.534564,0.586211,0.000183,0.028095,0.028095,0.00058,0,7,550,0.618677,78421,0.4751
12 Pencils Tall Tube Posy,12 Pencils Tall Tube Posy,Product,356,44613,4,0.516142,0.556344,0.00079,0.016907,0.016907,0.000551,0,14,167,0.493385,31177,0.28818
Black Mini Tape Measure,Black Mini Tape Measure,Product,92,6549,5,0.485108,0.502168,0.000002,0.006672,0.006672,0.000114,0,21,780,0.929288,3890,0.113342
Midnight Glamour Scarf Knitting Kit,Midnight Glamour Scarf Knitting Kit,Product,37,2265,4,0.472273,0.485802,0.000004,0.00272,0.00272,0.000088,0,14,77,0.873874,582,0.046387
Pack Of 60 Spaceboy Cake Cases,Pack Of 60 Spaceboy Cake Cases,Product,897,216899,4,0.58906,0.665228,0.000991,0.043004,0.043004,0.001859,0,7,480,0.440718,177105,0.728304
Jungle Popsicles Ice Lolly Moulds,Jungle Popsicles Ice Lolly Moulds,Product,298,25056,4,0.509183,0.544449,0.000029,0.019825,0.019825,0.000267,0,7,176,0.821458,36352,0.335217
Assorted Tutti Frutti Keyring Ball,Assorted Tutti Frutti Keyring Ball,Product,71,7594,5,0.463124,0.483557,0.000038,0.002225,0.002225,0.000167,0,14,436,0.496982,1235,0.038703
Children's Apron Dolly Girl,Children's Apron Dolly Girl,Product,495,61752,4,0.53162,0.583493,0.000157,0.028047,0.028047,0.000563,0,7,58,0.631293,77185,0.474048
Asstd Col Butterfly/Crystal W/Chime,Asstd Col Butterfly/Crystal W/Chime,Product,49,5625,5,0.410911,0.435796,0.000036,0.000786,0.000786,0.000173,0,14,457,0.696429,819,0.014312
Woodland Height Chart Stickers,Woodland Height Chart Stickers,Product,225,21891,5,0.485379,0.519852,0.000143,0.013985,0.013985,0.000264,0,7,363,0.811349,20446,0.236547
Number Tile Cottage Garden 1,Number Tile Cottage Garden 1,Product,3,175,2,0.8,0.875,0,0,0,0.000472,1,0,7,0.666667,2,0.000055
Vintage Christmas Gift Bag Large,Vintage Christmas Gift Bag Large,Product,290,37836,4,0.500576,0.537989,0.000024,0.017486,0.017486,0.000364,0,16,503,0.761985,31931,0.295382
Baking Mould Toffee Cup Chocolate,Baking Mould Toffee Cup Chocolate,Product,102,12126,5,0.474077,0.495645,0.000012,0.005341,0.005341,0.000176,0,7,656,0.719666,3707,0.090927
Orange Votive Candle,Orange Votive Candle,Product,80,9543,5,0.472787,0.491967,0.000021,0.00376,0.00376,0.000173,0,5,22,0.624051,1972,0.064141
18pc Wooden Cutlery Set Disposable,18pc Wooden Cutlery Set Disposable,Product,88,8317,4,0.471248,0.491718,0.000004,0.005156,0.005156,0.000131,0,21,187,0.811912,3108,0.087444
